age,workclass,final_weight,education,Learning years,marital-status,occupation,relationship,sex,capital-gain,capital-loss,Workrate,native-country,label,Id
31,Private,87891,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,Male,0,0,60,United-States,1,1
32,State-gov,175931,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Male,0,0,40,United-States,1,2
41,Private,131591,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,45,United-States,1,3
26,Private,160445,HS-grad,9,Divorced,Craft-repair,Not-in-family,Male,0,0,40,United-States,1,4
56,Private,179781,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,United-States,0,5
32,Private,309513,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,United-States,1,6
20,Private,221955,5th-6th,3,Married-spouse-absent,Farming-fishing,Other-relative,Male,0,0,40,Mexico,1,7
38,Private,127601,Some-college,10,Widowed,Exec-managerial,Not-in-family,Female,0,0,40,United-States,0,8
52,Private,225317,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,Mexico,1,9
31,Local-gov,158092,Some-college,10,Never-married,Adm-clerical,Own-child,Female,0,0,35,United-States,1,10
52,Private,109413,HS-grad,9,Never-married,Sales,Not-in-family,Male,0,0,40,United-States,1,11
22,Private,218343,HS-grad,9,Never-married,Other-service,Own-child,Female,0,0,40,United-States,1,12
31,Private,226756,HS-grad,9,Never-married,Adm-clerical,Own-child,Male,0,0,40,United-States,1,13
23,Private,126346,9th,5,Never-married,Other-service,Unmarried,Female,0,0,30,United-States,1,14
34,Private,168768,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,Female,0,0,35,United-States,1,15
34,Private,203488,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,United-States,1,16
25,Private,231638,HS-grad,9,Never-married,Adm-clerical,Own-child,Female,0,0,40,United-States,1,17
22,Private,356567,Assoc-voc,11,Divorced,Tech-support,Not-in-family,Male,0,0,60,United-States,1,18
47,Private,102771,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,50,United-States,1,19
34,Private,73161,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,0,40,United-States,0,20
42,Private,115085,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,50,United-States,1,21
31,Self-emp-not-inc,281030,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,45,United-States,1,22
44,Private,76196,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,United-States,1,23
60,Self-emp-not-inc,187794,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,3103,0,60,United-States,0,24
23,Private,204653,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Male,0,0,72,Dominican-Republic,1,25
32,Self-emp-not-inc,34572,HS-grad,9,Divorced,Farming-fishing,Not-in-family,Male,0,0,65,United-States,1,26
51,Private,221672,Masters,14,Married-civ-spouse,Sales,Husband,Male,15024,0,50,United-States,0,27
47,Private,194772,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,United-States,0,28
38,Private,478346,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,Female,7688,0,40,United-States,0,29
42,Private,180032,Masters,14,Never-married,Prof-specialty,Not-in-family,Female,0,0,40,United-States,1,30
49,Local-gov,269527,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,7298,0,40,United-States,0,31
43,Private,85995,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,0,45,United-States,1,32
46,Self-emp-not-inc,182541,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Male,0,1672,50,United-States,1,33
29,Private,103111,HS-grad,9,Never-married,Other-service,Own-child,Male,0,0,30,Canada,1,34
20,Private,219262,9th,5,Never-married,Transport-moving,Not-in-family,Male,0,0,50,United-States,1,35
48,Private,348144,Some-college,10,Divorced,Transport-moving,Not-in-family,Male,3325,0,53,United-States,1,36
68,,192052,Some-college,10,Married-civ-spouse,,Wife,Female,0,2457,40,United-States,1,37
31,Private,73514,HS-grad,9,Never-married,Sales,Own-child,Female,0,0,40,United-States,1,38
22,Private,326334,Some-college,10,Never-married,Craft-repair,Own-child,Male,0,0,35,United-States,1,39
54,,155755,HS-grad,9,Divorced,,Not-in-family,Female,4416,0,25,United-States,1,40
49,Private,143482,HS-grad,9,Divorced,Other-service,Unmarried,Female,0,0,40,United-States,1,41
51,Private,210940,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,2002,45,United-States,1,42
29,Private,200515,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,38,United-States,1,43
31,Private,156493,HS-grad,9,Never-married,Prof-specialty,Own-child,Male,0,0,40,United-States,1,44
51,Private,302146,11th,7,Never-married,Other-service,Not-in-family,Female,0,0,40,United-States,1,45
24,Federal-gov,314525,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Male,0,1741,45,United-States,1,46
26,Private,236242,Prof-school,15,Never-married,Prof-specialty,Not-in-family,Female,0,0,30,United-States,1,47
31,Federal-gov,166626,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,United-States,0,48
22,Private,388247,Some-college,10,Never-married,Sales,Own-child,Male,0,0,40,United-States,1,49
47,Federal-gov,27067,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Female,0,0,40,United-States,1,50
21,Private,307315,Some-college,10,Never-married,Adm-clerical,Unmarried,Male,0,0,40,United-States,1,51
33,Private,138142,Some-college,10,Separated,Other-service,Unmarried,Female,0,0,25,United-States,1,52
21,Private,265434,Some-college,10,Never-married,Prof-specialty,Own-child,Female,0,0,30,United-States,1,53
37,Private,286026,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,United-States,0,54
59,Private,176011,Some-college,10,Separated,Adm-clerical,Unmarried,Male,0,0,40,United-States,1,55
19,Private,246652,Some-college,10,Never-married,Sales,Own-child,Female,0,0,40,United-States,1,56
44,Self-emp-not-inc,120539,Bachelors,13,Never-married,Sales,Not-in-family,Male,0,0,50,United-States,0,57
38,Private,220585,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,55,United-States,0,58
66,Private,117746,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,0,0,50,United-States,0,59
45,Private,26522,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Female,0,1902,35,United-States,0,60
34,Private,169527,Some-college,10,Married-civ-spouse,Sales,Wife,Female,4386,0,20,United-States,1,61
39,Private,484475,11th,7,Never-married,Craft-repair,Not-in-family,Male,0,0,40,United-States,1,62
47,Local-gov,194360,HS-grad,9,Married-civ-spouse,Other-service,Wife,Female,0,0,7,United-States,0,63
43,Private,74581,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,48,United-States,0,64
23,Private,240049,Preschool,1,Never-married,Other-service,Not-in-family,Female,0,0,40,Laos,1,65
31,Private,202822,Some-college,10,Divorced,Adm-clerical,Unmarried,Female,0,0,40,United-States,1,66
36,Private,123983,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,55,Japan,0,67
46,Self-emp-not-inc,236852,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,0,0,45,United-States,0,68
